param,cv,metrics,val_acc,matrix
n_est,cv1,5,0.499854185,"[[ 201    0    0    0    0    0    0    3    4    0   78]
 [   0    0    0    0    0    0    0    0    5  578    8]
 [   0    0   15    0    0    0    0    0    1    9    3]
 [   0    0    0    0    0    0    0    1    2    6    1]
 [   0    0    0    0    0    0    0    0    9  606    3]
 [   0    0    0    0    0    0    0    0    0  185    2]
 [   0    0    0    0    0    0    0    3   22  278    3]
 [   0    0    0    0    0    0    0  841   37    0    0]
 [   2    0    1    0    0    0    0  387  624 1049   14]
 [   0    0    0    0    0    0    0    0    0 1663    4]
 [  55    0    0    0    0    0    0    2    5   64   84]]"
n_est,cv1,10,0.503499563,"[[ 187    0    0    0    2    0    0   10    3    0   84]
 [   0    0    0    0    2    0    0    0    5  576    8]
 [   0    0   14    0    0    0    0    1    1    9    3]
 [   0    0    0    0    0    0    0    1    2    6    1]
 [   0    0    0    0   11    0    0    0    9  595    3]
 [   0    0    0    0    0    0    0    0    0  185    2]
 [   0    0    0    0   12    0    0    3   22  266    3]
 [   0    0    0    0    0    0    0  856   22    0    0]
 [   0    0    1    0    0    0    0  382  638 1049    7]
 [   0    0    0    0    0    0    0    0    0 1663    4]
 [  51    0    0    0    0    0    0    6    5   64   84]]"
n_est,cv1,12,0.495479732,"[[  23    0    0    0    0    0    0   10    0    0  253]
 [   0    0    0    0    2    0    0    0    5  571   13]
 [   0    0   14    0    0    0    0    1    1    7    5]
 [   0    0    0    0    0    0    0    1    2    5    2]
 [   0    1    0    0   11    0    0    0    9  594    3]
 [   0    0    0    0    0    0    0    0    0  185    2]
 [   0    0    0    0   12    0    0    3   23  266    2]
 [   0    0    0    0    0    0    0  856   22    0    0]
 [   0    0    1    0    0    0    0  382  640 1049    5]
 [   0    1    0    0    0    0    0    0    0 1659    7]
 [   3    0    0    0    0    0    0    6    2    4  195]]"
n_est,cv1,50,0.527850685,"[[ 276    0    0    0    0    0    0    0    0    1    9]
 [   0   63    0    0    6    0    0    0    8  510    4]
 [   0    1   18    0    0    5    0    0    0    1    3]
 [   1    0    0    0    0    0    0    0    2    6    1]
 [   0    5    0    0   17    0    1    0   10  585    0]
 [   0    2    0    0    1    0    0    0    2  182    0]
 [   0    1    0    0   14    0    1    3   26  261    0]
 [   1    0    1    0    0    0    0  850   26    0    0]
 [   2    5    1    0    4    0    1  376  668 1020    0]
 [   0    6    0    0    6    0    0    0    3 1648    4]
 [ 116    3    0    0    0    0    1    2    3    6   79]]"
n_est,cv2,5,0.440653252,"[[ 140    6    0    0    0    0    0    0    2    6  132]
 [   0    6    0    0    0    0    0    0    9  573    3]
 [   0    0   16    0    0    0    0    0    1    7    4]
 [   0    0    0    0    0    0    0    0    1    7    2]
 [   0    1    0    0    0    0    0    0    8  607    2]
 [   0    0    0    0    0    0    0    0    5  179    3]
 [   0    2    0    0    0    0    0    0   30  274    0]
 [   0    0    0    0    0    0    0    0  873    2    3]
 [   0    7    1    0    0    0    0    0 1041 1022    6]
 [   0    4    0    0    0    0    0    0    0 1660    3]
 [  35    2    0    0    0    0    0    0    2   12  159]]"
n_est,cv2,10,0.511519393,"[[ 195    0    0    0    0    0    2    2    0    0   87]
 [   0    6    0    0    0    0    0    0   10  572    3]
 [   0    0   18    0    0    0    0    0    2    4    4]
 [   0    0    0    0    0    0    0    0    1    7    2]
 [   0    1    0    0    0    0    0    0    9  606    2]
 [   0    0    0    0    0    0    0    0    5  179    3]
 [   0    2    0    0    0    0    0    1   36  267    0]
 [   0    0    0    0    0    0    0  840   37    1    0]
 [   2    5    0    0    0    0    0  421  653  994    2]
 [   0    4    0    0    0    0    0    0    3 1656    4]
 [  51    1    1    0    0    1    0    3    2   11  140]]"
n_est,cv2,12,0.515164771,"[[ 198    0    0    0    0    0    2    2    2    0   82]
 [   0    6    0    0    1    0    0    0   10  571    3]
 [   0    0   17    0    0    0    0    0    2    4    5]
 [   0    0    0    0    0    0    0    0    1    7    2]
 [   0    1    0    0    9    0    0    0    9  597    2]
 [   0    0    0    0    0    0    0    0    5  179    3]
 [   0    2    0    0    5    0    1    2   34  262    0]
 [   0    0    1    0    1    0    0  839   37    0    0]
 [   2    5    1    0    2    0    1  401  672  992    1]
 [   0    4    0    0    1    0    0    0    3 1655    4]
 [  53    1    1    0    0    1    0    3    4   11  136]]"
n_est,cv2,50,0.52055993,"[[ 277    1    0    0    0    0    0    3    0    1    4]
 [   0   23    0    0   16    0    0    0   11  540    1]
 [   0    1   18    0    0    1    0    1    2    3    2]
 [   0    1    0    0    0    0    0    0    1    7    1]
 [   0    1    0    0   39    0    0    0    9  567    2]
 [   0    0    0    0    2    0    0    0    5  177    3]
 [   0    2    0    0   12    0    0    3   34  255    0]
 [   0    0    1    0    0    0    0  848   29    0    0]
 [   1   11    2    0   22    0    0  426  657  956    2]
 [   0    7    0    0   20    0    0    0    8 1628    4]
 [ 111    1    3    0    0    0    0    3    2   10   80]]"
n_est,cv3,5,0.462525518,"[[   0    0    0    0    0    0    0   11   30  245    0]
 [   0    0    0    0    1    0    0    0    7  583    0]
 [   0    0    0    0    0    0    0    1    0   27    0]
 [   0    0    0    0    0    0    0    1    2    7    0]
 [   0    0    0    0    9    0    0    0   12  597    0]
 [   0    0    0    0    0    0    0    0    2  185    0]
 [   0    0    0    0    9    0    0    6   27  264    0]
 [   0    0    0    0    2    0    0  849   27    0    0]
 [   0    0    0    0    2    0    0  419  648 1008    0]
 [   0    0    0    0    1    0    0    0    0 1666    0]
 [   0    0    0    0    0    0    0    8   15  187    0]]"
n_est,cv3,10,0.498541849,"[[ 235    0    1    0    0    0    0   11    3   36    0]
 [   3    0    0    0    1    0    0    0    7  580    0]
 [   2    0    4    0    0    0    0    0    0    5   17]
 [   3    0    0    0    0    0    0    1    1    5    0]
 [   0    0    0    0    9    0    0    0   12  597    0]
 [   1    0    0    0    0    0    0    0    2  184    0]
 [   1    0    1    0    9    0    0    6   27  262    0]
 [   0    0    1    0    2    0    0  848   27    0    0]
 [   2    0    0    0    2    0    0  407  659 1007    0]
 [   3    0    0    0    1    0    0    0    0 1663    0]
 [ 181    0    1    0    0    0    0    8    1   18    1]]"
